IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill	˦	˨
b	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-		
d	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-		
d̠ʒ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-		
e	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		
e˦	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
e˨	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+
f	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-		
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-		
i	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		
i˦	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
i˨	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-		
kx	cç	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-		
kǀ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
kǀʰ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
kǁ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
kǁʰ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
kǃ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
kǃʰ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
kʰ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-		
kʼ	k	Body		-	-	+	+	-	-		+	-	-	-	-	-	-	-	-	+	-	-	-	-		-	-	-		
l	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-		
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-		
mb	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+,-	+	-	-	+,-	-	-		-	-	-		
mp	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+,-	+,-	-	-	+,-	-	-		-	-	-		
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-		
nd	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-	-	-	-	-		
ns	ts	Tip	+	-	-	+	-	-,+	+	-	-	-	-	-	-	-	-	+,-	+,-	-	-	+,-	-	-	-,+	-	-	-		
nt	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	+,-	-	-	+,-	-	-	-	-	-	-		
ntsʼ	ts	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	+,-	-	+	-	+,-	-	-	+	-	-	-		
nz	ts	Tip	+	-	-	+	-	-,+	+	-	-	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-	-,+	-	-	-		
n̠d̠ʒ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-	+	-	-	-		
n̠t̠ʃʼ	ts	Tip	-	-	-	+	+	-	+	+	-	-	-	-	-	-	-	+,-	-	+	-	+,-	-	-	+	-	-	-		
o	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		
o˦	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
o˨	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		+
pʰ	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	+	-		-	-	-		
pʼ	p	Lips		-	-	+	+	-	-		-	-	-	+	-	-	-	-	-	+	-	-	-	-		-	-	-		
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-		
tsʰ	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-		
tsʼ	ts	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-		
tʰ	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-		
tʼ	t	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-		
t̠ʃʰ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-		
t̠ʃʼ	ts	Tip	-	-	-	+	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-		
u	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		
u˦	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
u˨	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-		+
v	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-		
w	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	-	-		-	-	-		
z	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-		
ŋ	ŋ	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+	+	-	-	+	-	-		-	-	-		
ŋk	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+,-	+,-	-	-	+,-	-	-		-	-	-		
ŋǀ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-		
ŋǁ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-		
ŋǃ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-		
ŋɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-		-	-	-		
ɑ	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		
ɑ˦	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+	
ɑ˨	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+
ɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-		
ɡǀ	ǃ	Tip	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-		
ɡǁ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-		
ɡǃ	ǃ	Tip	+	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-		
ɣ	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-		
ɦ	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	+	-	-	-	+	-		-	-	-		
ɬ	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-		
ɮ	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-	-	-	-	-		
ɱf	pf	Lips		-	-	+	-	-,+	-		-	-	-	+	-	-	-	+,-	+,-	-	-	+,-	-	-		-	-	-		
ɱv	pf	Lips		-	-	+	-	-,+	-		-	-	-	+	-	-	-	+,-	+	-	-	+,-	-	-		-	-	-		
ɲ	ŋ	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-		
ʒ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-		
β	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-		
