IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill	˧	˨˩	˧˥	˧ˀ˨ʔ	˧˩˧	˧ˀ˥
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-						
a˧	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-	+					
a˧ˀ˥	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-						+
a˧ˀ˨ʔ	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-				+		
a˧˥	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-			+			
a˧˩˧	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-					+	
a˨˩	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-		+				
c	k	Body		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-						
e	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-						
e˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+					
e˧ˀ˥	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-						+
e˧ˀ˨ʔ	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-				+		
e˧˥	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+			
e˧˩˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-					+	
e˨˩	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+				
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-						
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-						
iʌ	uə	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-		-						
iʌ˧	uə	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-	+					
iʌ˧ˀ˥	uə	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-						+
iʌ˧ˀ˨ʔ	uə	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-				+		
iʌ˧˥	uə	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-			+			
iʌ˧˩˧	uə	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-					+	
iʌ˨˩	uə	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-		+				
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-						
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-						
l̪	l	Tip		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-						
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-						
n̪	n	Tip		+	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-						
o	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-						
o˧	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+					
o˧ˀ˥	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-						+
o˧ˀ˨ʔ	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+		
o˧˥	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+			
o˧˩˧	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-					+	
o˨˩	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+				
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-						
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-						
t̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-						
t̪ʰ	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-						
uʌ	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-						
uʌ˧	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-	+					
uʌ˧ˀ˥	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-						+
uʌ˧ˀ˨ʔ	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-				+		
uʌ˧˥	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-			+			
uʌ˧˩˧	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-					+	
uʌ˨˩	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-	+	-		+				
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-						
w	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-						
x	ç	Body			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-						
z	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-						
ŋ	ŋ	Body			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-						
ɐ	ɒ	Vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-			-						
ɐ˧	ɒ	Vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-	+					
ɐ˧ˀ˥	ɒ	Vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-						+
ɐ˧ˀ˨ʔ	ɒ	Vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-				+		
ɐ˧˥	ɒ	Vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-			+			
ɐ˧˩˧	ɒ	Vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-					+	
ɐ˨˩	ɒ	Vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-		+				
ɓ	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		+	-	+	-		-	-	-	-	-		-	-			-						
ɔ	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-						
ɔ˧	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-	+					
ɔ˧ˀ˥	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-						+
ɔ˧ˀ˨ʔ	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-				+		
ɔ˧˥	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-			+			
ɔ˧˩˧	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-					+	
ɔ˨˩	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-		+				
ɗ	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		+	-	+	-			-	-	-	-	-	-	-			-						
ɛ	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-						
ɛ˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-	+					
ɛ˧ˀ˥	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-						+
ɛ˧ˀ˨ʔ	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-				+		
ɛ˧˥	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-			+			
ɛ˧˩˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-					+	
ɛ˨˩	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-		+				
ɣ	ç	Body			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-						
ɤ	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-						
ɤ˧	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+					
ɤ˧ˀ˥	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-						+
ɤ˧ˀ˨ʔ	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-				+		
ɤ˧˥	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+			
ɤ˧˩˧	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-					+	
ɤ˨˩	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+				
ɪ	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-						
ɪ˧	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-	+					
ɪ˧ˀ˥	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-						+
ɪ˧ˀ˨ʔ	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-				+		
ɪ˧˥	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-			+			
ɪ˧˩˧	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-					+	
ɪ˨˩	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-		+				
ɯʌ	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-		-						
ɯʌ˧	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-	+					
ɯʌ˧ˀ˥	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-						+
ɯʌ˧ˀ˨ʔ	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-				+		
ɯʌ˧˥	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-			+			
ɯʌ˧˩˧	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-					+	
ɯʌ˨˩	uə	Vowel	-		+	+		-	-	+	-			+	-		-	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+,-	+	-		+				
ɯ̞	ɨ	Vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-						
ɯ̞˧	ɨ	Vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+					
ɯ̞˧ˀ˥	ɨ	Vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-						+
ɯ̞˧ˀ˨ʔ	ɨ	Vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-				+		
ɯ̞˧˥	ɨ	Vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+			
ɯ̞˧˩˧	ɨ	Vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-					+	
ɯ̞˨˩	ɨ	Vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+				
ɲ	ŋ	Body		-	-	-	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-						
ʊ	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-						
ʊ˧	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-	+					
ʊ˧ˀ˥	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-						+
ʊ˧ˀ˨ʔ	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-				+		
ʊ˧˥	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-			+			
ʊ˧˩˧	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-					+	
ʊ˨˩	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-	+	-		+				
ʌ	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-						
ʌ˧	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-	+					
ʌ˧ˀ˥	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-						+
ʌ˧ˀ˨ʔ	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-				+		
ʌ˧˥	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-			+			
ʌ˧˩˧	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-					+	
ʌ˨˩	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-		+				
ʔ	ʔ	Guttural			-		-	+	+	-	-	-		-	-	-			-		-	-		-	-	-	-			-	-	-	-		-	-			-						
